5.891 2.512 4.460
6.181 2.841 4.586
5.812 2.816 4.576
6.390 1.700 4.150
6.317 2.983 4.640
5.132 2.192 4.338
5.443 3.113 4.690
5.004 1.603 4.113
5.059 2.866 4.596
5.702 2.035 4.278
5.547 1.921 4.234
6.455 2.282 4.372
5.983 3.081 4.677
5.528 1.451 4.054
5.712 3.018 4.654
4.822 3.161 4.708
5.607 1.858 4.210
5.820 1.769 4.176
6.259 3.187 4.717
6.092 3.189 4.713
4.162 2.239 4.329
3.838 2.908 4.584
2.940 1.893 4.196
4.506 2.358 4.374
3.585 1.549 4.065
3.777 1.533 4.058
3.030 1.337 3.984
2.892 1.241 3.947
3.049 0.973 3.845
3.717 1.746 4.140
4.595 3.073 4.647
4.872 2.165 4.300
4.636 2.843 4.559
3.029 1.988 4.233
4.557 1.872 4.188
3.320 3.113 4.663
3.603 1.567 4.072
5.432 2.966 4.607
4.438 2.572 4.456
4.006 2.691 4.501
5.913 2.744 4.521
3.860 2.416 4.396
5.512 3.039 4.634
4.390 3.051 4.639
2.878 0.657 3.724
4.110 2.883 4.575
5.517 2.451 4.410
4.329 2.504 4.430
3.704 2.324 4.361
3.052 1.606 4.087
3.187 1.432 4.020
4.924 2.558 4.450
2.869 1.353 3.990
3.948 1.539 4.061
3.889 2.038 4.252
3.311 1.354 3.990
4.758 2.801 4.543
3.351 3.132 4.670
3.998 1.533 4.059
6.387 1.861 4.184
4.062 0.757 3.762
6.117 2.537 4.442
3.630 0.563 3.688
6.017 2.776 4.534
6.429 2.368 4.378
5.228 1.249 3.950
5.522 2.061 4.261
5.962 1.803 4.162
6.403 2.592 4.463
4.993 0.732 3.752
5.977 2.204 4.315
4.986 0.481 3.657
6.041 1.927 4.209
5.081 1.168 3.919
4.889 1.684 4.116
6.482 0.470 3.652
5.729 0.831 3.790
5.944 1.442 4.024
5.204 2.023 4.246
4.995 1.141 3.909
6.080 1.099 3.893
5.998 0.743 3.757
5.337 0.633 3.715
5.843 1.253 3.951
4.986 0.847 3.796
4.461 1.025 3.865
4.871 0.783 3.772
6.419 0.949 3.836
4.318 0.864 3.803
5.951 2.655 4.487
5.454 0.529 3.675
5.666 0.506 3.666
5.357 1.130 3.905
4.270 1.112 3.898
6.295 1.627 4.095
6.158 1.907 4.202
5.562 1.878 4.191
5.678 1.755 4.144
5.223 0.435 3.666
5.619 0.602 3.583
3.471 2.231 2.968
2.873 1.901 3.093
3.093 0.798 3.509
2.836 0.869 3.482
5.974 0.471 3.632
3.923 1.962 3.070
4.301 1.106 3.393
5.659 0.875 3.480
3.233 0.941 3.455
3.691 1.275 3.329
5.671 1.036 3.419
3.257 2.622 2.820
4.787 1.461 3.259
3.649 0.576 3.593
3.703 2.049 3.037
2.950 1.801 3.130
4.146 1.186 3.362
3.002 3.032 2.666
4.755 1.399 3.282
3.141 2.082 3.024
3.706 1.183 3.363
6.317 0.467 3.634
3.996 1.764 3.144
5.049 0.613 3.579
4.813 1.666 3.181
5.974 0.527 3.611
